unique;id;round;agentNum;agentName;parPro;parGender;stimulus;offerAg;offerPar;accepted;age;edu;relationship;atgM;status;masculinity;0;1;2;3;4;5;Zstatus;Zmasculinity
i33r8;33;8;2;Karolina;1;0;2;6;4;0;21;3;0;0;53;37;0;0,051700690000004;-2,111804990000000;-6,188766910000000;-7,354077769999990;-7,481250120000000;0,17778;-1,02916
i33r9;33;9;1;Tomek;0;0;1;4;6;1;21;3;0;0;79;85;0;-1,865676609999990;-0,917060010000000;9,717381080000000;11,178104990000000;11,890364580000000;1,21130;1,76704
i33r10;33;10;2;Karolina;0;0;2;4;6;1;21;3;0;0;53;37;0;2,493658560000000;-4,557966060000000;-3,755561360000000;-3,371976860000000;-6,953836120000010;0,17778;-1,02916
i33r11;33;11;2;Karolina;1;0;2;6;4;1;21;3;0;0;53;37;0;-2,093247640000000;-3,341956010000000;-2,514400900000000;-1,148860250000000;-2,639778430000010;0,17778;-1,02916
i33r12;33;12;1;Tomek;0;0;2;5;5;1;21;3;0;0;79;85;0;2,100910390000000;-7,586305190000000;-11,357199110000000;-6,421452410000000;-6,867903630000000;1,21130;1,76704
i33r13;33;13;1;Tomek;0;0;0;4;6;1;21;3;0;0;79;85;0;-5,715935329999990;-4,286977019999990;0,093867329999995;-0,465838509999998;2,569489330000000;1,21130;1,76704
i33r14;33;14;2;Karolina;0;0;2;4;6;1;21;3;0;0;53;37;0;-3,788613010000010;1,370601080000000;-3,155751910000010;-4,038630380000000;1,130710089999990;0,17778;-1,02916
i33r15;33;15;1;Tomek;0;0;1;4;6;1;21;3;0;0;79;85;0;-0,711731440000008;-12,246861060000000;-8,284983590000010;-6,176016470000010;-9,640791260000000;1,21130;1,76704
i33r16;33;16;2;Karolina;1;0;2;6;4;0;21;3;0;0;53;37;0;2,464207390000000;5,690685630000000;8,720566250000000;3,550924560000000;-0,840977689999988;0,17778;-1,02916
i33r17;33;17;1;Tomek;1;0;2;6;4;0;21;3;0;0;79;85;0;-4,066471560000000;-6,268695020000000;-4,402744880000000;-6,223167219999990;-7,958154580000000;1,21130;1,76704
i33r18;33;18;2;Karolina;0;0;0;4;6;1;21;3;0;0;53;37;0;-2,012356960000010;-6,042015240000010;-3,572733110000000;-5,220139820000000;-8,628859290000010;0,17778;-1,02916
i33r19;33;19;1;Tomek;1;0;2;7;3;1;21;3;0;0;79;85;0;-3,333239380000010;-2,334516320000010;0,827777089999998;-0,960788860000008;-2,092794690000010;1,21130;1,76704
i33r20;33;20;2;Karolina;0;0;1;4;6;1;21;3;0;0;53;37;0;-1,180045900000000;-2,413937710000000;-1,961724570000000;2,220820270000000;3,042113320000000;0,17778;-1,02916
