met	nar	plec	zamiesz	wiek	zwiaz	ksiaz	dem.p	dem.n	ak.n	ak.p	fzk	gt.t	gt.c	gtr	hdf	fwc	ssup	z	fzp	cai	ag.s	ag.w	h	fch	asi.b	asi.h	asi	pobyt_mes	delikatnosc	spraw_wspolnotowa	przebojowosc	czynnik_3elem	sprawczosc_bez_agresji
papier	polska	kobieta	Norwegia	 	 	50	52	300	59	30	75	41	4,28571E+12	53	 	43	3,33333E+12	0	85	4	45	6	50	100	 	 	 	 	 	 	 	 	71
papier	polska	m??czyzna	Norwegia	 	 	0	50	47	400	73	5	75	62	1,42857E+12	6,66667E+12	74	6,66667E+12	625	93	4	24	6	44	37	8	41	6,66667E+12	80	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	72	13	70	67	5	49	74	5	36	92	32	8,33333E+12	65	125	7	7	55	4	 	 	45	3,33333E+12	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	72	27	200	33	71	75	70	26	3,33333E+12	 	62	59	36	8	18	6	58	6	50	47	6,66667E+12	69	75	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	1	0	0	600	67	46	94	25	78	 	5	5	0	0	86	8	60	67	6,66667E+12	100	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	52	38	50	40	53	5	58	61	3,33333E+12	3,33333E+12	100	54	25	23	2	14	8	78	8	43	6	57	6,66667E+12	100	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	600	44	47	55	86	7,14286E+12	100	 	3,33333E+12	49	8	18	54	69	32	100	 	 	 	 	 	 	 	 	98	8,33333E+12
papier	polska	m??czyzna	Norwegia	 	 	0	0	1000	54	5	61	56	1,42857E+12	100	 	6,66667E+12	31	26	6	80	29	8	34	3,33333E+12	100	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	3	0	0	700	58	52	75	86	84	6,66667E+12	6,66667E+12	0	62	5	20	0	82	71	8	52	3,33333E+12	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	1	0	0	200	67	66	25	88	57	 	50	0	37	875	38	18	45	8	58	8	32	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	71	51	100	100	5	 	 	 	3,33333E+12	49	8	0	100	60	100	100	 	 	 	 	 	 	 	 	104	66
papier	polska	m??czyzna	Norwegia	 	 	3	0	100	100	50	57	75	94	64	66	 	64	73	6	0	70	6	39	2	67	100	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	2	100	100	1000	63	65	75	86	8,57143E+12	 	72	5	0	86	75	23	6	10	78	8	70	4	68	57	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	51	49	500	36	75	73	5	67	 	49	375	25	2	4	53	4	38	6	31	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	2	50	48	200	54	41	75	66	6,66667E+12	 	6,66667E+12	81	375	11	4	0	81	59	49	4	83	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	46	4	0	100	100	100	5	45	52	50	 	60	71	625	27	6	3	2	66	2	55	2	68	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	 	100	11	75	50	 	56	60	5	52	41	75	40	8	 	6	60	8	50	6	50	6,66667E+12
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	 	26	13	5	70	0	5	0	25	875	0	0	63	30	6	54	88	25	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	51	52	 	 	34	5	57	85	3,33333E+12	45	5	100	67	625	12	4	13	8	45	8	33	71	3,33333E+12	100	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	0	0	 	 	66	5	75	73	3,33333E+12	62	25	32	4	2	8	56	55	75	3,33333E+12	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	1	0	0	600	59	87	55	1,42857E+12	6,66667E+12	31	6,66667E+12	8	34	24	10	4	83	3,33333E+12	52	5	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	2	0	0	700	74	47	61	25	66	6,66667E+12	6,66667E+12	70	87	125	72	32	4	49	2	29	8	33	3,33333E+12	66	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	3	0	0	200	53	5	75	5	84	6,66667E+12	6,66667E+12	75	64	125	25	8	18	81	50	84	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	0	0	100	34	75	62	5	50	3,33333E+12	3,33333E+12	5	100	100	31	6	16	2	41	2	62	2	68	100	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	600	63	5	50	80	84	3,33333E+12	 	 	 	39	28	8	4	67	6	68	2	32	3,33333E+12	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	52	52	100	53	5	47	100	63	5,71429E+12	 	6,66667E+12	68	24	2	25	4	66	4	52	2	70	6,66667E+12	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	52	50	50	63	5	51	59	75	68	84	 	6,66667E+12	875	23	2	9	49	4	49	4	49	3,33333E+12	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	0	0	300	74	25	45	100	86	88	 	70	68	5	2	89	8	61	8	52	6,66667E+12	100	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	16	16	 	 	100	24	92	25	84	6,66667E+12	 	52	0	44	875	37	6	0	63	39	2	100	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	0	0	 	 	100	47	94	69	1,42857E+12	71	60	56	25	60	4	4	2	68	6	33	2	33	3,33333E+12	88	5	 	 	 
papier	polska	kobieta	Norwegia	 	 	3	0	52	39	12	 	5	67	5	56	6,66667E+12	6,66667E+12	0	85	25	59	8	49	100	58	8	83	6,66667E+12	36	25	76	5	29
papier	polska	m??czyzna	Norwegia	 	 	3	0	100	100	100	63	75	86	25	46	6,66667E+12	3,33333E+12	50	38	25	43	875	74	6	0	35	6	20	43	56	25	38	25
papier	polska	kobieta	Norwegia	 	 	58	44	50	75	5	60	 	 	29	3,33333E+12	 	61	 	 	60	6	13	2	67	2	46	6	72	3,33333E+12	67	25	35	54
