met	nar	plec	zamiesz	wiek	zwiaz	ksiaz	dem.p	dem.n	ak.n	ak.p	fzk	gt.t	gt.c	gtr	hdf	fwc	ssup	z	fzp	cai	ag.s	ag.w	h	fch	asi.b	asi.h	asi	pobyt_mes	delikatnosc	spraw_wspolnotowa	przebojowosc	czynnik_3elem	sprawczosc_bez_agresji
papier	polska	m??czyzna	Norwegia	 	 	3	0	100	62	50	53	75	5	97	1,42857E+12	78	35	5	51	75	41	375	27	6	28	8	56	6	23	8	 	 	81
papier	polska	kobieta	Norwegia	 	 	4	0	75	70	100	70	25	49	75	27	 	3,33333E+12	60	53	125	55	50	50	56	6	56	6,66667E+12	60	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	1	85	60	500	52	5	65	685	20	6,66667E+12	78	5	65	75	59	125	61	6	55	56	6	56	4	63	6,66667E+12	56	75
papier	polska	kobieta	Norwegia	 	 	90	90	400	57	5	23	57	5	26	6,66667E+12	 	17	70	875	12	0	80	52	100	91	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	76	76	 	 	58	25	25	88	5	85	 	49	57	54	875	21	2	0	52	8	81	4	69	3,33333E+12	88	5	 	 
papier	polska	kobieta	Norwegia	 	 	4	2	50	91	300	60	87	5	28	6,66667E+12	 	6,66667E+12	25	54	375	20	19	70	40	100	81	25	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	100	50	50	40	25	53	5	84	3,33333E+12	3,33333E+12	20	0	76	70	8	52	30	50	77	5	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	76	51	150	51	45	75	25	 	3,33333E+12	8,33333E+12	0	0	56	20	40	100	 	 	 	 	 	 	 	 	104	3,33333E+11
papier	polska	m??czyzna	Norwegia	 	 	4	0	100	0	100	63	53	75	63	68	6,66667E+12	63	50	81	875	0	0	80	53	50	87	5	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	50	200	100	38	75	75	90	66	3,33333E+12	72	55	5	50	0	90	54	65	3,33333E+12	100	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	100	100	50	75	37	5	49	70	70	33	3,33333E+12	75	60	6	25	16	6,66667E+12	0	 	 	 	 	 	 	 	 	72	1,66667E+12
papier	polska	kobieta	Norwegia	 	 	88	84	50	70	75	35	63	20	6,66667E+12	 	50	39	53	2	54	2	34	35	 	 	 	 	 	 	 	 	78	63
papier	polska	m??czyzna	Norwegia	 	 	0	89	85	100	50	5	5	66	57	3,33333E+12	 	3,33333E+12	5	63	375	53	4	28	2	37	4	52	2	47	6,66667E+12	73	75	 
papier	polska	kobieta	Norwegia	 	 	61	6	2	65	55	200	75	79	67	70	55	3,33333E+12	625	42	6	24	2	59	8	57	2	50	70	25	29	75	57	5
papier	polska	m??czyzna	Norwegia	 	 	61	6	3	75	33	400	69	75	65	4,28571E+12	55	51	52	46	68	25	26	2	25	8	68	2	46	4	46	6,66667E+12	58	75
papier	polska	kobieta	Norwegia	 	 	66	6	3	56	60	500	75	68	25	7,14286E+12	90	59	44	25	77	875	26	8	22	2	66	4	43	6	54	66	5	31
papier	polska	m??czyzna	Norwegia	 	 	77	6	3	61	54	400	68	25	71	7,14286E+12	 	52	77	375	56	2	25	6	55	57	6	49	3,33333E+12	70	5	21	75	56
papier	polska	kobieta	Norwegia	 	 	6	0	100	56	400	60	83	5	85	6,66667E+12	 	6,66667E+12	5	0	0	75	8	50	4	41	6,66667E+12	73	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	100	100	100	64	75	69	5	3,33333E+12	 	49	24	6	0	71	2	60	4	33	6,66667E+12	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	1	54	60	600	30	53	25	73	5,71429E+12	 	61	70	75	56	75	15	13	8	60	2	56	6	68	6,66667E+12	78	16	75
papier	polska	m??czyzna	Norwegia	 	 	4	2	0	0	100	79	45	75	82	4,28571E+12	6,66667E+12	6,66667E+12	85	25	43	375	32	4	21	2	56	6	63	2	46	86	5	25
papier	polska	kobieta	Norwegia	 	 	72	72	100	76	75	51	25	75	1,42857E+12	66	 	50	 	 	 	 	 	43	8	50	3,33333E+12	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	76	66	100	73	75	64	71	5	60	62	 	50	66	625	70	6	25	4	48	6	28	2	48	3,33333E+12	69	5	57	75
papier	polska	kobieta	Norwegia	 	 	69	82	300	67	25	36	74	25	 	3,33333E+12	 	3,33333E+12	75	66	625	68	8	60	4	64	6	 	 	56	6,66667E+12	67	75	60
papier	polska	m??czyzna	Norwegia	 	 	65	64	100	51	5	36	25	51	8,57143E+12	3,33333E+12	62	3,33333E+12	375	 	 	57	2	57	2	54	4	40	3,33333E+12	42	75	56	25	45
papier	polska	kobieta	Norwegia	 	 	4	0	80	69	100	70	25	76	69	6,66667E+12	 	72	5	48	49	625	27	6	23	4	72	8	49	6	63	48	25	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	76	74	150	69	75	68	75	30	 	54	49	75	51	625	37	18	4	61	6	59	6	42	71	25	 	 
papier	polska	kobieta	Norwegia	 	 	4	1	41	46	100	34	25	42	25	6,66667E+12	 	39	73	8	33	8	51	8	53	4	24	3,33333E+12	47	36	46	75	71	5
papier	polska	m??czyzna	Norwegia	 	 	4	2	72	70	250	66	75	68	5	3,33333E+12	 	49	62	69	26	6	53	8	42	8	75	70	25	54	63	59	60	70
papier	polska	kobieta	Norwegia	 	 	4	0	50	49	200	64	5	54	75	100	 	56	87	75	78	5	53	6	15	6	70	51	 	 	88	25	 	 
papier	polska	m??czyzna	Norwegia	 	 	100	4	0	51	51	100	5	25	75	45	3,33333E+12	63	100	100	46	875	21	4	13	65	6	68	4	76	6,66667E+12	100	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	100	64	25	48	100	100	84	 	3,33333E+12	47	8	38	6	100	91	75	25	75	37	75	57	5	0	100	5	73
papier	polska	m??czyzna	Norwegia	 	 	100	100	50	58	75	26	83	5	59	6,66667E+12	 	61	100	44	875	21	8	21	45	2	46	64	70	5	28	5	52	65
papier	polska	kobieta	Norwegia	 	 	0	0	200	48	25	47	100	69	1,42857E+12	 	3,33333E+12	21	8	0	51	2	40	8	68	6,66667E+12	74	5	19	46	77	4	5	95
papier	polska	m??czyzna	Norwegia	 	 	0	0	100	62	75	48	25	63	8,57143E+12	83	 	69	87	6	20	39	6	40	16	6,66667E+12	100	32	75	48	25	63	5	0
papier	polska	kobieta	Norwegia	 	 	6	1	100	100	100	82	100	100	100	3,33333E+12	55	53	25	0	0	84	47	8	62	3,33333E+12	100	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	0	0	200	90	100	100	100	68	 	3,33333E+12	0	0	89	4	70	33	3,33333E+12	100	 	 	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	1	100	100	100	100	5	100	100	3,33333E+12	70	6,66667E+12	7	8	100	51	42	100	 	 	 	 	 	 	 	 	100	3,33333E+11
papier	polska	m??czyzna	Norwegia	 	 	4	0	55	56	100	100	87	25	100	84	 	39	7	6	7	2	68	4	48	8	47	3,33333E+12	99	75	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	100	150	45	25	46	86	75	11	6,66667E+12	 	3,33333E+12	100	0	0	100	50	8	54	3,33333E+12	100	20	5	51	70	5	0	110
papier	polska	m??czyzna	Norwegia	 	 	0	0	300	24	47	25	25	0	66	 	57	64	0	90	6	50	2	50	6,66667E+12	100	20	57	53	0	102	8,33333E+11	85	87
papier	polska	kobieta	Norwegia	 	 	55	55	150	84	25	32	5	48	7,14286E+12	57	 	48	5	0	0	81	50	50	6,66667E+12	100	37	49	75	55	2	5	92	54
papier	polska	m??czyzna	Norwegia	 	 	0	0	150	84	75	56	66	5,71429E+12	77	3,33333E+12	69	8,33333E+12	0	0	73	49	8	33	3,33333E+12	89	5	31	25	65	52	25	6	25
papier	polska	kobieta	Norwegia	 	 	6	0	0	0	150	82	65	75	100	3,33333E+12	 	56	96	625	0	0	100	55	8	50	100	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	1	100	100	150	84	62	100	55	70	69	59	77	375	18	3	6	69	6	65	2	55	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	0	0	100	100	5	100	44	3,33333E+12	 	3,33333E+12	59	625	6	8	6	4	95	2	48	8	52	6,66667E+12	71	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	3	0	0	0	100	65	75	100	42	6,66667E+12	 	79	33	875	9	8	0	64	2	38	50	69	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	0	53	53	100	75	62	75	35	3,33333E+12	80	58	5	24	7	76	8	58	52	76	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	0	0	100	52	5	87	75	72	 	6,66667E+12	56	49	75	24	8	0	55	8	21	2	53	100	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	4	1	0	0	200	76	 	 	60	6,66667E+12	70	58	25	60	25	0	0	90	8	49	6	51	6,66667E+12	100	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	999	55	39	12	 	25	50	5	100	6,66667E+12	6,66667E+12	5	0	100	0	0	92	4	50	2	51	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	0	66	66	100	100	100	69	6,66667E+12	 	77	49	0	100	63	79	69	 	 	 	 	 	 	 	 	106	1,66667E+11	86
papier	polska	m??czyzna	Norwegia	 	 	4	0	100	100	150	87	81	75	100	61	6,66667E+12	75	77	125	12	6	 	4	63	59	54	87	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	100	100	100	100	100	85	3,33333E+12	100	50	0	6,66667E+12	82	5	15	75	41	56	75	14	75	91	6,66667E+12	64	1,42857E+12	72	2
papier	polska	m??czyzna	Norwegia	 	 	50	51	100	77	46	75	59	4,28571E+12	93	3,33333E+12	66	50	5	8	74	6	50	6	42	6,66667E+12	100	12	47	51	75	8	5	103
papier	polska	kobieta	Norwegia	 	 	6	3	0	0	200	70	25	69	25	100	 	6,66667E+12	84	625	0	0	66	6	70	100	100	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	3	0	0	400	51	86	5	43	3,33333E+12	 	67	48	93	75	0	0	61	2	30	69	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	 	 	 	 	 	 	5	37	25	95	52	 	6,66667E+12	49	5	66	25	35	75	58	0	45	2	50	4	57	6,66667E+12	83
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	25	22	26	63	59	51	5	62	25	50	125	16	8	0	69	8	49	8	56	3,33333E+12	72	75
papier	polska	kobieta	Norwegia	 	 	5	2	0	0	100	100	73	5	100	3,33333E+12	65	53	0	0	80	80	100	100	12	75	49	5	36	0	112	56	4,28571E+12	77
papier	polska	m??czyzna	Norwegia	 	 	4	0	0	0	50	60	25	87	5	3,33333E+12	 	3,33333E+12	62	5	50	10	45	6	24	100	100	12	5	60	75	62	5	0
papier	polska	kobieta	Norwegia	 	 	100	100	150	100	60	90	71	3,33333E+12	67	 	76	48	6	79	6	63	6	50	3,33333E+12	72	5	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	53	54	100	66	25	33	83	47	62	6,66667E+12	59	57	25	44	375	34	18	2	52	4	31	6	71	100	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	400	55	50	72	1,42857E+12	85	85	53	3,33333E+12	0	79	2	82	6,66667E+12	100	 	 	 	 	 	 	 	 	89	3,33333E+12	49
papier	polska	m??czyzna	Norwegia	 	 	0	0	600	50	25	27	70	5,71429E+12	84	6,66667E+12	72	52	12	8	10	8	90	6	76	2	51	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	 	 	 	 	 	 	 	87	86	5	6,66667E+12	53	6,66667E+12	53	100	100	36	5	 	 	 	 	20	79	6	70	6
papier	polska	m??czyzna	Norwegia	 	 	 	 	 	 	 	 	 	70	75	76	100	 	55	73	25	59	875	0	20	 	 	56	4	67	100	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	100	150	88	5	41	48	7,14286E+12	77	 	56	3,33333E+12	100	54	4	37	6,66667E+12	100	33	25	45	68	75	0	102	8,33333E+11	82	5,71429E+12
papier	polska	m??czyzna	Norwegia	 	 	0	0	300	89	5	61	74	6,66667E+12	69	 	3,33333E+12	3,33333E+12	2	14	8	77	8	48	2	57	3,33333E+12	92	21	42	5	55	75	2
papier	polska	kobieta	Norwegia	 	 	52	55	100	68	25	44	100	27	4,28571E+12	6,66667E+12	61	39	15	8	9	6	80	4	50	8	61	80	75	18	42	5	62	5
papier	polska	m??czyzna	Norwegia	 	 	100	100	100	50	75	50	87	75	46	3,33333E+12	 	58	5	100	55	625	14	6	15	6	73	6	50	4	33	3,33333E+12	71	25
papier	polska	kobieta	Norwegia	 	 	54	54	150	63	5	45	12	5,71429E+12	66	 	88	46	0	71	2	47	8	35	81	75	9	25	70	5	51	75	10	80
papier	polska	m??czyzna	Norwegia	 	 	0	0	200	76	25	50	58	6,66667E+12	62	 	3,33333E+12	3,33333E+12	6	0	72	4	41	4	50	6,66667E+12	82	75	24	75	52	55	5	10
papier	polska	kobieta	Norwegia	 	 	4	0	100	100	200	100	87	5	78	6,66667E+12	56	41	5	100	0	90	2	42	8	60	6,66667E+12	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	0	0	150	85	68	25	93	2,85714E+12	6,66667E+12	3,33333E+12	46	25	70	5	0	0	64	71	2	23	3,33333E+12	100	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	0	0	150	100	11	75	25	100	65	3,33333E+12	68	45	70	0	0	100	58	61	100	24	75	41	5	59	75	6	25	100
papier	polska	m??czyzna	Norwegia	 	 	0	0	 	 	74	25	88	5	50	 	90	52	0	0	67	6	71	4	36	100	17	25	56	59	75	8	77	8,33333E+12
papier	polska	kobieta	Norwegia	 	 	4	1	59	60	150	100	75	100	100	6,66667E+12	85	63	75	0	0	100	49	4	61	100	 	 	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	6	1	53	53	50	73	25	100	57	3,33333E+12	 	77	68	5	59	75	15	12	76	6	51	2	47	3,33333E+12	100	 	 	 
papier	polska	kobieta	Norwegia	 	 	53	53	150	77	51	66	57	69	6,66667E+12	 	3,33333E+12	5	0	90	6	50	2	38	6,66667E+12	100	43	38	63	0	112	6,66667E+11	79	2,85714E+12
papier	polska	m??czyzna	Norwegia	 	 	0	0	100	100	100	100	3,33333E+12	57	6,66667E+12	81	63	58	63	2	38	6,66667E+12	100	6	75	49	75	48	25	19	25	112	5	73
papier	polska	kobieta	Norwegia	 	 	4	0	0	0	200	100	100	100	54	3,33333E+12	82	3,33333E+12	10	8	9	6	69	4	51	8	51	6,66667E+12	100	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	5	0	0	0	300	54	70	25	86	62	 	6,66667E+12	53	875	12	20	6	58	52	4	54	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	1	55	52	200	79	5	63	25	62	 	54	0	0	100	50	8	52	100	 	 	 	 	 	 	 	 	111
papier	polska	m??czyzna	Norwegia	 	 	6	0	55	36	150	62	70	94	75	56	 	36	5	76	125	0	0	83	8	56	8	52	100	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	6	1	0	0	300	72	75	100	85	66	 	6,66667E+12	75	32	625	22	4	22	2	91	2	49	6	66	3,33333E+12	100	 	 
papier	polska	m??czyzna	Norwegia	 	 	4	0	55	54	200	56	86	5	100	100	 	6,66667E+12	24	13	4	19	4	90	4	68	8	100	 	 	 	 	 	 
papier	polska	kobieta	Norwegia	 	 	100	100	200	71	5	48	100	100	66	6,66667E+12	55	53	5	0	13	2	100	41	4	68	3,33333E+12	100	0	45	75	38	75	0
papier	polska	m??czyzna	Norwegia	 	 	0	26	200	64	5	49	84	25	100	 	3,33333E+12	40	0	46	8	57	42	6,66667E+12	100	17	25	43	44	5	0	93	8,33333E+12	66
papier	polska	kobieta	Norwegia	 	 	0	0	200	66	5	50	74	5	59	3,33333E+12	62	6,66667E+12	8	25	6	79	6	63	6	51	3,33333E+12	100	23	44	25	43	75	0
papier	polska	m??czyzna	Norwegia	 	 	0	0	300	61	75	53	76	25	66	85	 	76	20	26	59	2	26	34	3,33333E+12	94	21	75	27	25	49	25	0	74
papier	polska	kobieta	Norwegia	 	 	0	0	100	59	45	25	5	92	1,42857E+12	68	 	63	33	4	0	60	8	49	4	51	3,33333E+12	100	 	 	 	 	 	 
papier	polska	m??czyzna	Norwegia	 	 	54	53	300	55	25	50	65	92	2,85714E+12	66	 	6,66667E+12	875	52	2	10	6	61	4	42	6	68	3,33333E+12	100	 	 	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	1	0	0	400	 	 	 	65	 	77	5	52	72	5	 	 	 	 	 	 	45	57	77	 	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	53	54	 	 	 	 	 	 	51	67	25	85	 	 	 	 	 	 	54	8	41	6,66667E+12	76	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	2	0	0	1000	 	 	 	72	 	78	43	5	80	5	47	125	 	 	 	 	 	 	52	53	100	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	300	 	 	 	77	 	3,33333E+12	73	25	52	125	 	 	 	 	 	 	46	6	54	75	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	1	0	0	300	 	 	 	76	 	3,33333E+12	51	69	25	33	 	 	 	 	 	 	62	8	45	6,66667E+12	75	5
papier	norwes	m??czyzna	Norwegia	 	 	 	 	2	57	56	450	 	 	 	84	 	3,33333E+12	5	77	34	375	 	 	 	 	 	 	26	2	74	73	5	 
papier	norwes	kobieta	Norwegia	 	 	 	 	3	0	0	700	 	 	 	70	 	92	95	625	 	 	 	 	 	 	53	55	68	75	 	 	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	300	 	 	 	85	3,33333E+12	80	5	46	125	 	 	 	 	 	 	64	4	62	6,66667E+12	54	75	 
papier	norwes	kobieta	Norwegia	 	 	 	 	0	0	0	100	 	 	 	69	3,33333E+12	3,33333E+12	6,66667E+12	31	5	54	5	71	875	 	 	 	 	 	 	57	2	58
papier	norwes	m??czyzna	Norwegia	 	 	 	 	 	 	53	55	 	 	 	 	52	64	6,66667E+12	63	76	75	30	375	 	 	 	 	 	 	48	4	68	6,66667E+12
papier	norwes	kobieta	Norwegia	 	 	 	 	3	67	54	150	 	 	 	57	3,33333E+12	6,66667E+12	49	58	25	48	5	 	 	 	 	 	 	36	2	37	6,66667E+12	55
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	100	 	 	 	62	3,33333E+12	3,33333E+12	3,33333E+12	58	53	5	57	25	 	 	 	 	 	 	48	8	46	3,33333E+12
papier	norwes	kobieta	Norwegia	 	 	 	 	2	0	0	200	 	 	 	81	6,66667E+12	6,66667E+12	42	6,66667E+12	55	79	51	 	 	 	 	 	 	45	68	75	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	600	 	 	 	80	 	49	100	50	75	 	 	 	 	 	 	45	4	45	74	 	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	3	0	1	700	 	 	 	75	 	78	82	75	 	 	 	 	 	 	 	 	42	8	73	6,66667E+12	100	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	3	54	54	600	 	 	 	78	3,33333E+12	3,33333E+12	5	100	41	 	 	 	 	 	 	49	6	48	6,66667E+12	72	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	0	53	53	400	 	 	 	77	6,66667E+12	3,33333E+12	6,66667E+12	49	5	75	62	5	 	 	 	 	 	 	67	2	59	80
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	0	0	200	 	 	 	53	 	70	25	73	375	 	 	 	 	 	 	37	6	63	75	 	 	 
papier	norwes	kobieta	Norwegia	 	 	0	47	49	200	 	 	 	 	 	3,33333E+12	53	51	57	44	 	 	 	 	 	 	55	4	61	3,33333E+12	72	 	 	 
papier	norwes	m??czyzna	Norwegia	 	 	1	54	0	300	 	 	 	 	 	59	 	3,33333E+12	5	27	5	27	5	 	 	 	 	 	 	44	27	100	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	0	0	0	250	 	 	 	73	 	3,33333E+12	51	75	87	5	 	 	 	 	 	 	38	4	51	100	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	0	0	250	 	 	 	71	6,66667E+12	68	5	58	5	81	875	 	 	 	 	 	 	53	6	59	3,33333E+12	100
papier	norwes	kobieta	Norwegia	 	 	 	 	2	0	0	300	 	 	 	100	 	6,66667E+12	100	 	 	 	 	 	 	70	51	6,66667E+12	100	25	12	87	5	3
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	500	 	 	 	100	 	33	99	75	 	 	 	 	 	 	30	51	6,66667E+12	100	25	25	47	74
papier	norwes	kobieta	Norwegia	 	 	2	100	100	350	 	 	 	 	 	69	 	69	625	 	 	 	 	 	 	54	60	64	25	 	 	 	 	 
papier	norwes	m??czyzna	Norwegia	 	 	0	0	2	650	 	 	 	 	 	6,66667E+12	69	16	64	75	74	625	 	 	 	 	 	 	42	59	3,33333E+12	89	25	 
papier	norwes	kobieta	Norwegia	 	 	2	53	53	400	 	 	 	 	 	6,66667E+12	61	6,66667E+12	5	97	625	 	 	 	 	 	 	49	48	100	60	75	37	5
papier	norwes	m??czyzna	Norwegia	 	 	3	0	0	100	 	 	 	 	 	40	 	43	25	25	97	 	 	 	 	 	 	55	8	42	100	20	75	31
papier	norwes	kobieta	Norwegia	 	 	0	55	55	150	 	 	 	 	 	61	63	3,33333E+12	5	100	 	 	 	 	 	 	45	2	60	6,66667E+12	100	56	44	75
papier	norwes	m??czyzna	Norwegia	 	 	3	26	26	200	 	 	 	 	 	 	3,33333E+12	3,33333E+12	100	 	 	 	 	 	 	57	42	100	39	75	37	75	61	0
papier	norwes	kobieta	Norwegia	 	 	 	 	3	97	98	700	 	 	 	100	 	3,33333E+12	71	5	99	5	65	25	 	 	 	 	 	 	33	50	6,66667E+12	100
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	80	81	50	 	 	 	77	6,66667E+12	6,66667E+12	43	5	76	48	5	 	 	 	 	 	 	50	45	53	5	 
papier	norwes	kobieta	Norwegia	 	 	 	 	0	0	0	450	 	 	 	57	6,66667E+12	6,66667E+12	34	3,33333E+12	71	5	39	75	41	5	 	 	 	 	 	 	65	2
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	0	0	250	 	 	 	72	3,33333E+12	6,66667E+12	69	5	49	75	45	875	 	 	 	 	 	 	46	2	67	49
papier	norwes	kobieta	Norwegia	 	 	0	0	0	600	 	 	 	 	 	61	 	3,33333E+12	53	75	91	625	 	 	 	 	 	 	57	2	49	75	5	33
papier	norwes	m??czyzna	Norwegia	 	 	0	0	0	200	 	 	 	 	 	67	 	6,66667E+12	71	5	100	 	 	 	 	 	 	53	53	3,33333E+12	100	34	75	37
papier	norwes	kobieta	Norwegia	 	 	 	 	1	0	0	150	 	 	 	85	 	66	49	25	47	125	 	 	 	 	 	 	62	52	6,66667E+12	77	5	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	0	0	100	 	 	 	74	 	6,66667E+12	83	5	33	 	 	 	 	 	 	50	41	6,66667E+12	54	25	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	2	69	44	200	 	 	 	91	3,33333E+12	3,33333E+12	34	3,33333E+12	23	5	54	66	25	 	 	 	 	 	 	52	2	51
papier	norwes	m??czyzna	Norwegia	 	 	100	 	 	2	100	100	 	 	 	 	46	61	48	3,33333E+12	43	5	66	25	95	875	 	 	 	 	 	 	45	50
papier	norwes	kobieta	Norwegia	 	 	 	 	2	0	0	600	 	 	 	100	 	34	48	42	875	 	 	 	 	 	 	57	4	49	69	5	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	1	0	0	400	 	 	 	100	 	47	45	25	59	375	 	 	 	 	 	 	47	2	49	73	25	 
papier	norwes	kobieta	Norwegia	 	 	0	52	52	300	 	 	 	 	 	59	 	3,33333E+12	100	69	25	 	 	 	 	 	 	56	4	51	82	25	34	25
papier	norwes	m??czyzna	Norwegia	 	 	1	55	55	100	 	 	 	 	 	63	 	31	83	75	 	 	 	 	 	 	44	8	42	6,66667E+12	94	75	42	5
papier	norwes	kobieta	Norwegia	 	 	 	 	0	55	56	600	 	 	 	100	 	61	5	73	34	5	 	 	 	 	 	 	65	37	6,66667E+12	63	75	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	64	63	400	 	 	 	82	 	84	5	43	75	56	 	 	 	 	 	 	32	8	68	6,66667E+12	53	25
papier	norwes	kobieta	Norwegia	 	 	3	0	0	800	 	 	 	 	 	52	 	6,66667E+12	50	75	 	 	 	 	 	 	41	126	45	3,33333E+12	81	 	 	 
papier	norwes	m??czyzna	Norwegia	 	 	1	55	53	400	 	 	 	 	 	62	68	73	 	 	 	 	53	2	49	6,66667E+12	79	75	 	 	 	 	 	 
papier	norwes	kobieta	Norwegia	 	 	2	100	100	100	 	 	 	 	 	42	53	6,66667E+12	49	5	86	5	 	 	 	 	 	 	42	6	50	3,33333E+12	100	31
papier	norwes	m??czyzna	Norwegia	 	 	0	20	20	100	 	 	 	 	 	3,33333E+12	59	45	75	 	 	 	 	 	 	35	64	100	17	5	47	59	75	9
papier	norwes	kobieta	Norwegia	 	 	100	 	 	0	54	53	 	 	 	 	8,57143E+12	65	47	6,66667E+12	77	79	5	84	625	 	 	 	 	 	 	43	4	69
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	63	63	 	 	 	 	 	52	65	37	58	5	77	5	83	625	 	 	 	 	 	 	56	6	50
papier	norwes	kobieta	Norwegia	 	 	1	0	0	300	 	 	 	 	 	 	6,66667E+12	59	5	 	 	 	 	 	 	70	2	33	3,33333E+12	100	47	75	34	59
papier	norwes	m??czyzna	Norwegia	 	 	2	100	100	150	 	 	 	 	 	82	75	40	49	25	96	625	 	 	 	 	 	 	20	8	68	100	25	55
papier	norwes	kobieta	Norwegia	 	 	 	 	2	0	0	200	 	 	 	100	 	83	6,66667E+12	71	0	100	 	 	 	 	 	 	72	8	41	100	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	0	30	30	300	 	 	 	100	 	61	47	5	82	75	87	5	 	 	 	 	 	 	27	2	66	3,33333E+12
papier	norwes	kobieta	Norwegia	 	 	 	 	0	0	0	300	 	 	 	65	6,66667E+12	78	23	20	5	75	875	 	 	 	 	 	 	65	4	40	6,66667E+12	62
papier	norwes	m??czyzna	Norwegia	 	 	 	 	3	0	0	800	 	 	 	55	3,33333E+12	6,66667E+12	50	63	100	93	875	 	 	 	 	 	 	40	2	50	3,33333E+12	100
papier	norwes	kobieta	Norwegia	 	 	0	0	0	100	 	 	 	 	 	85	84	68	5	54	25	41	875	 	 	 	 	 	 	51	6	68	6,66667E+12	55
papier	norwes	m??czyzna	Norwegia	 	 	0	100	100	500	 	 	 	 	 	84	 	41	44	875	 	 	 	 	 	 	54	2	53	6,66667E+12	56	75	 	 
papier	norwes	kobieta	Norwegia	 	 	 	 	3	0	0	100	 	 	 	100	 	100	49	75	100	 	 	 	 	 	 	47	4	50	6,66667E+12	100	 	 
papier	norwes	m??czyzna	Norwegia	 	 	 	 	3	19	19	200	 	 	 	85	3,33333E+12	83	3,33333E+12	80	46	100	 	 	 	 	 	 	50	2	66	6,66667E+12	100	 
